ev,bet_type,ev_odd,ev_odd_opp,oddsj_ev_odd,oddsj_ev_odd_opp
0.1966,live,+125,-101,-133,-101
0.1682,live,+155,-138,+104,-138
0.0945,live,+144,-135,+114,-135
0.0889,live,+110,-105,-123,-105
0.0702,standard,+180,-185,+149,-185
0.0688,live,+120,-116,-103,-116
0.0639,standard,+225,-249,+188,-249
0.0606,live,-111,+117,-139,+117
0.0602,standard,+140,-135,+120,-135
0.0600,live,-135,+139,-187,+139
0.0599,live,+145,-151,+118,-151
0.0589,standard,+235,-265,+198,-265
0.0564,live,203,+101,-120,+101
0.0543,live,+125,-131,+100,-131
0.0506,live,+130,-135,+107,-135
0.0491,standard,+160,-157,+142,-157
0.0478,live,-105,+101,-136,+101
0.0462,standard,+192,-211,+164,-211
0.0458,live,+100,-105,-128,-105
0.0453,standard,+198,-218,+170,-218
0.0421,standard,+240,-255,+215,-255
0.0380,standard,-135,+140,-160,+140
0.0378,live,+100,-107,-126,-107
0.0377,standard,-110,+110,-131,+110
0.0375,standard,+230,-263,+201,-263
0.0363,standard,+260,-289,+233,-289
0.0361,standard,-110,+110,-130,+110
0.0358,standard,+210,-238,+183,-238
0.0356,standard,+132,-141,+112,-141
0.0400,standard,+225,-246,+201,-246
0.0344,standard,+175,-180,+158,-180
0.0338,live,+186,-207,+162,-207
0.0336,live,-110,+103,-139,+103
0.0304,standard,+188,-192,+173,-192
0.0304,standard,+230,-254,+207,-254
0.0293,live,-113,+105,-142,+105
0.0289,standard,+245,-288,+217,-288
0.0288,live,+118,-127,+100,-127
0.0277,standard,-130,+131,-150,+131
0.0271,live,-110,+104,-133,+104
0.0270,standard,+240,-272,+216,-272
0.0270,standard,+240,-282,+213,-282
0.0268,standard,+230,-268,+204,-268
0.0255,standard,+106,-111,-109,-111
0.0250,standard,-145,+146,-168,+146
0.0243,live,-108,-101,-133,-101
0.0240,standard,+215,-249,+191,-249
0.0234,live,-112,+103,-138,+103
0.0234,standard,-115,+114,-130,+114
0.0227,standard,+105,-107,-106,-107
0.0226,standard,-105,+104,-117,+104
0.0220,standard,-108,+105,-123,+105
0.0220,standard,+128,-140,+111,-140
0.0211,standard,+128,-139,+112,-139
0.0211,standard,+205,-225,+187,-225
0.0211,standard,+160,-177,+142,-177
0.0203,standard,+160,-168,+147,-168
0.0200,live,+120,-131,+104,-131
0.0197,standard,+195,-211,+179,-211
0.0197,standard,+190,-218,+169,-218
0.0188,standard,-110,+106,-125,+106
0.0188,standard,+135,-140,+124,-140
0.0187,standard,+132,-140,+119,-140
0.0149,standard,-200,+201,-228,+201
0.0187,standard,-133,+128,-156,+128
0.0178,standard,+140,-154,+124,-154
0.0176,live,-105,-105,-126,-105
0.0176,standard,+210,-224,+196,-224
0.0153,standard,+210,-229,+195,-229
0.0152,standard,-110,+103,-127,+103
0.0150,standard,+180,-209,+160,-209
0.0148,standard,-110,+105,-124,+105
0.0144,standard,-125,+122,-139,+122
0.0142,standard,-110,+107,-121,+107
0.0140,standard,-140,+137,-157,+137
0.0137,standard,-110,+106,-122,+106
0.0137,standard,-112,+104,-130,+104
0.0133,standard,-155,+151,-177,+151
0.0133,standard,+215,-242,+198,-242
0.0131,standard,+115,-125,+102,-125
0.0126,standard,+205,-243,+184,-243
0.0122,live,-115,+103,-139,+103
0.0120,live,+105,-115,-109,-115
0.0120,standard,-105,-102,-119,-102
0.0117,standard,+210,-233,+195,-233
0.0114,standard,+152,-166,+139,-166
0.0109,standard,+108,-117,-104,-117
0.0105,standard,-115,+111,-126,+111
0.0102,standard,+120,-132,+107,-132
0.0010,standard,+102,-110,-110,-110
0.362,live,+100,+100,-538,+347
0.325,live,+100,+100,-228,+163
0.278,live,+100,+100,+942,2128
0.0906,standard,+260,-271,+215,-271
0.0748,standard,+260,-273,+221,-273
0.0702,standard,+180,-185,+149,-185
0.0639,standard,+225,-249,+188,-249
0.0612,standard,+165,-164,+141,-164
0.0609,standard,+260,-293,+221,-293
0.0608,standard,-110,+115,-139,+115
0.06,standard,+260,-284,+224,-284
0.0593,standard,+170,-170,+146,-170
0.0561,standard,+215,-212,+188,-221
0.05,standard,-105,+108,-127,+108
0.049,standard,-110,+111,-137,+111
0.0472,standard,+192,-210,+164,-210
0.0471,standard,+240,-273,+207,-273
0.0463,standard,+260,-284,+230,-284
0.0458,standard,-115,+117,-141,+117
0.0453,standard,+198,-218,+170,-218
0.0437,standard,-105,+106,-126,+106
0.041,standard,+100,-101,-120,-101
0.0403,standard,-115,+117,-137,+117
0.0385,standard,+215,-243,+187,-243
0.0377,standard,-110,+110,-131,+110
0.0358,standard,+210,-238,+183,-238
0.0356,standard,+132,-141,+112,-141
0.0337,standard,-105,+104,-123,+104
0.0322,standard,+205,-215,+186,-216
0.0321,standard,+275,-300,+248,-311
0.0313,standard,+240,-279,+212,-279
0.031,standard,+225,-248,+202,-248
0.0306,standard,+175,-181,+159,-181
0.0304,standard,+162,-170,+145,-170
0.0295,standard,-105,+103,-122,+103
0.0292,standard,+136,-138,+123,-138
0.0289,standard,+245,-288,+217,-288
0.0286,standard,-110,+106,-131,+106
0.0273,standard,+225,-265,+198,-265
0.0265,standard,+230,-256,+208,-256
0.0264,standard,+205,-217,+188,-217
0.0255,standard,+180,-199,+160,-199
0.0255,standard,+106,-111,-109,-111
0.025,standard,-150,+149,-179,+149
0.0247,standard,-110,+105,-130,+105
0.0244,standard,+176,-198,+155,-198
0.0231,standard,-110,+105,-129,+105
0.0226,standard,-125,+121,-147,+121
0.0221,standard,-105,+103,-118,+103
0.022,standard,+128,-140,+111,-140
0.0216,standard,-102,+100,-114,+100
0.0215,standard,-110,+105,-128,+105
0.021,standard,-111,+106,-129,+106
0.0208,standard,+215,-250,-58,-58
0.0201,standard,-138,+137,-157,+137
0.02,standard,+230,-271,+206,-271
0.0199,standard,-105,+100,-122,-101
0.0198,standard,+134,-143,+120,-143
0.0197,standard,+190,-218,+169,-218
0.0184,standard,+105,-110,-109,-112
0.0181,standard,-125,+120,-145,+120
0.0178,standard,+140,-154,+124,-154
0.0177,standard,-140,+138,-159,+138
0.0175,standard,-110,+104,-127,+104
0.0173,standard,+100,-105,-114,-106
0.0172,standard,+210,-225,+193,-232
0.0168,standard,+130,-136,+119,-136
0.0167,standard,-165,+161,-195,+161
0.0163,standard,-115,+108,-134,+108
0.0162,standard,+255,-280,+233,-298
0.0161,standard,+180,-192,+167,-192
0.016,standard,+106,-110,-104,-110
0.0155,standard,+225,-253,+207,-253
0.0155,standard,+235,-280,+212,-280
0.0151,standard,+128,-132,+119,-132
0.015,standard,+180,-198,+160,-209
0.0148,standard,-110,+105,-124,+105
0.0147,standard,-110,+108,-120,+108
0.0144,standard,+150,-160,+138,-160
0.0141,standard,+110,-114,+101,-114
0.0138,standard,-105,-102,-120,-102
0.0138,standard,-105,-102,-120,-102
0.0137,standard,-110,+106,-122,+106
0.0137,standard,-112,+104,-130,+104
0.0135,standard,-110,+103,-126,+103
0.0131,standard,-110,+105,-123,+105
0.0125,standard,+180,-193,+168,-193
0.0125,standard,+140,-149,+129,-149
0.0123,standard,-135,+131,-151,+131
0.012,standard,-125,+117,-145,+117
0.012,standard,-105,-102,-119,-102
0.0119,standard,-110,+106,-121,+106
0.0117,standard,-120,+115,-134,+115
0.0113,standard,+180,-192,+169,-192
0.0112,standard,+220,-240,+202,-253
0.0111,standard,-130,+126,-144,+126
0.0109,standard,-109,+106,-118,+106
0.0105,standard,+220,-255,+201,-257
0.0105,standard,+125,-130,+117,-130
0.0102,standard,+120,-132,+107,-132
0.0102,standard,+215,-243,+199,-243
0.1115,live,+114,-105,-124,-105
0.1014,live,+130,-122,-102,-122
0.0978,live,+128,-123,-105,-123
0.0806,live,+124,-115,-105,-122
0.0798,standard,-110,+120,-145,+120
0.0792,live,+146,-135,+115,-147
0.0727,live,+100,+106,-131,+104
0.0727,live,+105,-101,-123,-101
0.0702,standard,+180,-185,+149,-185
0.0644,standard,+225,-229,+195,-229
0.0639,standard,+225,-249,+188,-249
0.0609,live,-105,+104,-140,+104
0.0589,standard,+235,-265,+198,-265
0.0503,live,-105,-101,-141,-101
0.0499,live,+100,-104,-129,-104
0.0491,standard,+160,-157,+142,-157
0.0488,live,-114,+111,-150,+111
0.0475,live,+120,-125,-102,-125
0.0462,standard,+192,-211,+164,-211
0.0453,standard,-110,+112,-133,+112
0.0453,standard,+198,-218,+170,-218
0.0449,standard,+140,-139,+123,-139
0.0402,live,-120,+118,-151,+118
0.0394,live,205,205,-123,-104
0.0382,standard,+240,-257,+216,-257
0.038,live,+105,-109,-115,-109
0.038,standard,-135,+140,-160,+140
0.0375,standard,+230,-263,+201,-263
0.0374,live,-110,+104,-140,+104
0.0374,standard,-110,+112,-128,+112
0.0363,standard,+260,-289,+233,-289
0.0361,standard,-110,+110,-130,+110
0.0358,standard,+210,-238,+183,-238
0.0356,standard,+132,-141,+112,-141
0.0352,live,+100,-105,-122,-105
0.035,standard,+225,-245,+201,-246
0.0344,standard,+175,-180,+158,-180
0.0313,standard,-133,+132,-161,+132
0.0312,live,+100,-110,-126,-110
0.0304,live,-107,-101,-134,-101
0.0304,standard,+230,-254,+207,-254
0.0289,standard,+245,-288,+217,-288
0.0288,live,-118,+110,-149,+110
0.0286,live,-102,-105,-124,-105
0.0277,standard,-130,+131,-150,+131
0.027,standard,+240,-272,+216,-272
0.027,standard,+240,-282,+213,-282
0.0269,live,+100,-107,-120,-107
0.0269,live,-120,+117,-142,+117
0.0268,standard,+230,-268,+204,-268
0.0263,live,+148,-164,+128,-164
0.0255,standard,+106,-111,-109,-111
0.0252,live,+110,-123,-111,-123
0.025,standard,-145,+146,-168,+146
0.0246,live,-114,+106,-140,106 
0.0245,live,-115,+106,-143,+106
0.024,standard,+215,-249,+191,-249
0.0234,standard,-115,+114,-130,+114
0.0227,live,+120,-125,+103,-131
0.0227,standard,+105,-107,-106,-107
0.0226,standard,-105,+104,-117,+104
0.022,standard,-108,+105,-123,+105
0.022,standard,+128,-140,+111,-140
0.0211,standard,+128,-139,+112,-139
0.0211,standard,+205,-225,+187,-225
0.0211,standard,+160,-177,142 ,-177
0.0205,standard,-110,+106,-126,+106
0.0203,standard,+160,-165,+147,-168
0.0201,standard,-125,+121,-145,+121
0.0197,standard,+195,-211,+179,-211
0.0197,standard,+190,-218,+169,-218
0.0189,live,-120,+125,-144,+112
0.0188,standard,-110,+106,-125,+106
0.0188,standard,+135,-140,+124,-140
0.0149,standard,-200,+215,-228,+201
0.0181,standard,+100,-103,-111,-103
0.0178,standard,+140,-154,+124,-154
0.0176,standard,+210,-220,+196,-224
0.0175,standard,-110,+104,-127,+104
0.0165,live,-145,+142,-166,+142
0.0152,standard,-110,+103,-127,+103
0.015,standard,+180,-198,+160,-209
0.0148,standard,-110,+105,-124,+105
0.0144,standard,-125,+122,-139,+122
0.0142,standard,-110,+107,-121,+107
0.014,standard,-140,+137,-157,+137
0.0138,live,-140,+133,-164,+133
0.0138,standard,-105,-102,-120,-102
0.0137,standard,-110,+106,-122,+106
0.0137,standard,-112,+104,-130,+104
0.0133,standard,-155,+151,-177,+151
0.0133,standard,+215,-242,+198,-242
0.0131,standard,+115,-125,+102,-125
0.0131,standard,-110,+105,-123,+105
0.013,live,+225,-279,+200,-279
0.013,standard,-105,+100,-117,+100
0.0126,standard,+205,-243,+184,-243
0.012,standard,-105,-102,-119,-102
0.0117,standard,-133,+126,-153,+126
0.0117,standard,+210,-233,+195,-233
0.0116,live,+130,-156,+109,-156
0.0114,standard,+152,-166,139 ,-166
0.0109,standard,+108,-117,-104,-117
0.0105,standard,-115,+111,-126,+111
0.0102,standard,+120,-132,+107,-132
0.0101,live,+250,-295,+224,-318
0.01,standard,+102,-110,-110,-110
